file,loai,stt,title,so_tu,trung_lap,loi,url
kich-ban/0001-billionaire-mocked-read-this-legal-paper-get-2m-black-maid-s.md,long,1,"Billionaire Mocked “Read This Legal Paper, Get $2M” — Black Maid’s Son Found What Everyone Missed",7457,False,False,https://docs.google.com/document/d/1WkaEeURPumShnmEyLohnfHM7_3Fqu7V5UdK1_oMO3hE/edit?hl=vi&tab=t.0
short/0002-flight-attendant-yelled-at-black-boy-no-food-for-you-didn-t.md,short,1,Flight Attendant Yelled at Black Boy “No Food for You” — Didn’t Know His Father Owned Entire Airline,378,False,False,https://docs.google.com/document/d/1A6mYCQHEqvetb0I3CJ_kSC8dAwi6u59-eD4GMfOCKHM/edit?hl=vi&tab=t.0
kich-ban/0003-judge-gave-black-teen-life-laughing-one-phone-call-later-jud.md,long,2,"Judge Gave Black Teen Life Laughing — One Phone Call Later, Judge Wasn't Laughing Anymore",8050,False,False,https://docs.google.com/document/d/1WkaEeURPumShnmEyLohnfHM7_3Fqu7V5UdK1_oMO3hE/edit?hl=vi&tab=t.dfup8gj4knk5
short/0004-poor-black-boy-paid-for-hungry-old-woman-s-meal-next-day-bil.md,short,2,"Poor Black Boy Paid for Hungry Old Woman's Meal — Next Day, Billionaire Knocked on His Door",449,False,False,https://docs.google.com/document/d/1A6mYCQHEqvetb0I3CJ_kSC8dAwi6u59-eD4GMfOCKHM/edit?hl=vi&tab=t.f6imb6176kcd
kich-ban/0005-bank-manager-threw-ceo-s-disabled-son-s-card-at-floor-father.md,long,3,Bank Manager Threw CEO's Disabled Son's Card at Floor — Father Pulled $5 Billion Deal Immediately,7358,False,False,https://docs.google.com/document/d/1WkaEeURPumShnmEyLohnfHM7_3Fqu7V5UdK1_oMO3hE/edit?hl=vi&tab=t.q2d43gute2n3
kich-ban/0006-i-can-fix-this-said-the-little-homeless-black-girl-the-milli.md,long,4,“I Can Fix This” Said the Little Homeless Black Girl — The Millionaire Mocked Her… Until It Worked,7704,False,False,https://docs.google.com/document/d/1WkaEeURPumShnmEyLohnfHM7_3Fqu7V5UdK1_oMO3hE/edit?hl=vi&tab=t.bfsbx5naggmq
short/0007-cop-handcuffed-black-grandma-in-store-what-she-whispered-mad.md,short,4,Cop Handcuffed Black Grandma in Store — What She Whispered Made Him Go Pale,378,False,False,https://docs.google.com/document/d/1A6mYCQHEqvetb0I3CJ_kSC8dAwi6u59-eD4GMfOCKHM/edit?hl=vi&tab=t.qqnu1g3fydx4
kich-ban/0008-billionaire-spent-millions-on-ferrari-repairs-with-no-result.md,long,5,Billionaire Spent Millions on Ferrari Repairs With No Results — Until the Black Maid’s Son Walked In,7565,False,False,https://docs.google.com/document/d/1WkaEeURPumShnmEyLohnfHM7_3Fqu7V5UdK1_oMO3hE/edit?hl=vi&tab=t.c9g6boz0ger5
short/0009-poor-black-girl-warned-millionaire-about-poisoned-cake-what.md,short,5,Poor Black Girl Warned Millionaire About Poisoned Cake — What Happened Next Changed Both Their Lives,442,False,False,https://docs.google.com/document/d/1A6mYCQHEqvetb0I3CJ_kSC8dAwi6u59-eD4GMfOCKHM/edit?hl=vi&tab=t.kvvug7z05qp4
kich-ban/0010-billionaire-ate-alone-on-new-year-s-eve-homeless-black-boy-w.md,long,6,Billionaire Ate Alone On New Year's Eve — Homeless Black Boy Walked Up And Did The Unthinkable,7719,False,False,https://docs.google.com/document/d/1WkaEeURPumShnmEyLohnfHM7_3Fqu7V5UdK1_oMO3hE/edit?hl=vi&tab=t.m2fy175s9dbj
